Time,CO*,O*,O2*,*,R_CO,R_O2,R_CO2
7900.0,0.0,0.9240451388888888,0.0,0.0759548611111111,0.0,-1.898871527777778e-06,0.0
8000.0,0.0,0.9244791666666666,0.0,0.07552083333333333,0.0,-1.898871527777778e-06,0.0
8100.0,0.0,0.9248046875,0.0,0.0751953125,0.0,-1.0850694444444444e-06,0.0
8200.0,0.0,0.9249131944444444,0.0,0.07508680555555555,0.0,-5.425347222222222e-07,0.0
8300.0,0.0,0.9250217013888888,0.0,0.0749782986111111,0.0,-2.712673611111111e-07,0.0
8400.0,0.0,0.9250217013888888,0.0,0.0749782986111111,0.0,-2.712673611111111e-07,0.0
8500.0,0.0,0.9251302083333334,0.0,0.07486979166666667,0.0,-5.425347222222222e-07,0.0
8600.0,0.0,0.9252387152777778,0.0,0.07476128472222222,0.0,-2.712673611111111e-07,0.0
8700.0,0.0,0.9252387152777778,0.0,0.07476128472222222,0.0,0.0,0.0
8800.0,0.0,0.9252387152777778,0.0,0.07476128472222222,0.0,-2.712673611111111e-07,0.0
8900.0,0.0,0.9253472222222222,0.0,0.07465277777777778,0.0,-2.712673611111111e-07,0.0
9000.0,0.0,0.9253472222222222,0.0,0.07465277777777778,0.0,-2.712673611111111e-07,0.0
9100.0,0.0,0.9254557291666666,0.0,0.07454427083333333,0.0,-1.0850694444444444e-06,0.0
9200.0,0.0,0.92578125,0.0,0.07421875,0.0,-1.3563368055555556e-06,0.0
9300.0,0.0,0.9259982638888888,0.0,0.0740017361111111,0.0,-5.425347222222222e-07,0.0
9400.0,0.0,0.9259982638888888,0.0,0.0740017361111111,0.0,-2.712673611111111e-07,0.0
9500.0,0.0,0.9261067708333334,0.0,0.07389322916666667,0.0,-2.712673611111111e-07,0.0
9600.0,0.0,0.9261067708333334,0.0,0.07389322916666667,0.0,0.0,0.0
9700.0,0.0,0.9261067708333334,0.0,0.07389322916666667,0.0,-2.712673611111111e-07,0.0
9800.0,0.0,0.9262152777777778,0.0,0.07378472222222222,0.0,-5.425347222222222e-07,0.0
9900.0,0.0,0.9263237847222222,0.0,0.07367621527777778,0.0,-2.712673611111111e-07,0.0
10000.0,0.0,0.9263237847222222,0.0,0.07367621527777778,0.0,0.0,0.0
10100.0,0.0,0.9263237847222222,0.0,0.07367621527777778,0.0,-2.712673611111111e-07,0.0
