time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
4.683793707949954e-13,0.3768345288001402,0.45688421261255224,0.02992719756717342,0.029341947479949074,0.00052422269272192,4.5559727848564136e-05,0.10644233111941205
4.913734830269565e-13,0.37162293412710845,0.4555558185287737,0.030633712573970583,0.0300064279456616,0.0005572521532880407,4.996730067412838e-05,0.11157388737032113
5.190012554558275e-13,0.36545516619248125,0.4539953246413598,0.03144952907399266,0.030771153115977373,0.0005966359472706624,5.53990128695964e-05,0.11767679201584633
5.466290278846985e-13,0.3593885350901369,0.45247095968948564,0.032231916130010876,0.0315018853842507,0.0006356099313154035,6.096043877446393e-05,0.12371013333582333
5.742568003135695e-13,0.35342145584421986,0.45098018148400065,0.03298336490708748,0.032201190367229064,0.0006740979256783268,6.663272082521422e-05,0.12967307675075693
6.018845727424405e-13,0.3475523623673192,0.44952075110844536,0.03370606576501638,0.03287132702666353,0.0007120323163943139,7.239792573455475e-05,0.13556506349022412
6.295123451713115e-13,0.3417797079260835,0.4480906869150552,0.03440195390574865,0.03351429401505439,0.0007493531826926033,7.8239025784608e-05,0.1413857650293784
6.658533962693057e-13,0.334330757600735,0.44625137530458975,0.03527935778842472,0.03432164127665851,0.000797421839134927,8.601084022599509e-05,0.1489334353500284
7.021944473672998e-13,0.32704260587496714,0.4444562695611045,0.03611679948263038,0.035088633492852725,0.0008442337790675025,9.385169732739069e-05,0.15635760611184774
7.385354984652939e-13,0.31991189034577455,0.44270225167643673,0.03691730351245137,0.03581840814272087,0.0008897012570023283,0.00010172960478493124,0.1636587154606266
7.748765495632881e-13,0.3129353092675229,0.4409865757596755,0.037683525674109195,0.0365137248140385,0.0009337511684969058,0.0001096149451794463,0.17083749837077494
8.112176006612822e-13,0.30610962159888966,0.43930680174303033,0.038417818898992644,0.03717703214824816,0.0009763234029778343,0.00011748039264721192,0.17789492181501168
8.475586517592763e-13,0.2994316468851689,0.4376607468541823,0.03912228139813548,0.037810516955616755,0.001017369386767785,0.00012530079858524655,0.18483213772134108
